budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.4,12,recent_block,192.0,0.375,0.06388624384999275,0.08501148223876953,0.013789288699626923,0.2956159971654415,0.012628722586669028,0.627670906484127
0.4,12,recent_token,205.0,0.400390625,0.07184057869017124,0.09371662139892578,0.013619939214549959,0.3174942918121815,0.012634144746698439,0.6328055635094643
0.4,12,sender_attn_block,192.0,0.375,0.7891674563288689,0.7621278762817383,0.0019397395954001695,0.9389634281396866,0.001939739755471237,0.9389634430408478
0.4,12,sender_k_norm,170.305419921875,0.3326277732849121,0.24934931099414825,0.36092376708984375,0.014173169154673815,0.6606554985046387,0.01351388858165592,0.7545197382569313
0.4,12,sender_k_norm_block,192.0,0.375,0.6072941794991493,0.5700807571411133,0.005544910265598446,0.856890082359314,0.0056735944817774,0.869614876806736
0.4,12,sender_kxreceived,174.69970703125,0.34121036529541016,0.41475221514701843,0.59130859375,0.011469413875602186,0.7038183808326721,0.010708379792049527,0.7968237772583961
0.4,12,sender_kxreceived_block,192.0,0.375,0.7891480475664139,0.7028703689575195,0.002771509869489819,0.9027228355407715,0.002771510015008971,0.9027228355407715
0.4,12,sender_received,172.341796875,0.3366050720214844,0.4142889380455017,0.5873947143554688,0.01154245832003653,0.701919674873352,0.010781424352899194,0.7949251011013985
0.4,12,sender_received_block,192.0,0.375,0.7894042953848839,0.6828279495239258,0.0027924577007070184,0.9018937945365906,0.002792457729810849,0.9018938019871712
0.4,12,uniform_block,192.0,0.375,0.646911196410656,0.5755834579467773,0.0019223861891077831,0.9121499583125114,0.0019223861891077831,0.9121499806642532
0.4,15,random_block,192.0,0.375,0.37454377487301826,0.37431907653808594,0.026928642066195607,0.8202037736773491,0.027329376665875316,0.8629838302731514
0.4,15,random_token,205.0,0.400390625,0.40189002826809883,0.40068531036376953,0.026030662236735225,0.8895520195364952,0.02616587234660983,0.8893432915210724
0.4,15,recent_block,192.0,0.375,0.0639438172802329,0.09491634368896484,0.0449620746076107,0.301719605922699,0.03798744874075055,0.6852183192968369
0.4,15,recent_token,205.0,0.400390625,0.07300354354083538,0.10968303680419922,0.04425013065338135,0.3269808180630207,0.03787554008886218,0.6929726377129555
0.4,15,sender_attn_block,192.0,0.375,0.7612203285098076,0.7183408737182617,0.0064972242107614875,0.9428200051188469,0.006497224268969148,0.9428200051188469
0.4,15,sender_k_norm,170.84130859375,0.33367443084716797,0.26939281821250916,0.3434906005859375,0.045103578828275204,0.7202152609825134,0.04174850881099701,0.8227611258625984
0.4,15,sender_k_norm_block,192.0,0.375,0.48343101143836975,0.4397459030151367,0.022185032023116946,0.8476399257779121,0.022863828809931874,0.8750508204102516
0.4,15,sender_kxreceived,178.34375,0.34832763671875,0.3809278905391693,0.5105819702148438,0.033441652078181505,0.7916609048843384,0.029923129361122847,0.8920952454209328
0.4,15,sender_kxreceived_block,192.0,0.375,0.7864732891321182,0.6634626388549805,0.005299338547047228,0.9171068221330643,0.0052993386634625494,0.9171067997813225
0.4,15,sender_received,178.34375,0.34832763671875,0.38284969329833984,0.51513671875,0.03335305908694863,0.7937851548194885,0.02983453613705933,0.8942195326089859
0.4,15,sender_received_block,192.0,0.375,0.7864732891321182,0.6634626388549805,0.005299338547047228,0.9171068221330643,0.0052993386634625494,0.9171067997813225
0.4,15,uniform_block,192.0,0.375,0.6294408440589905,0.5475864410400391,0.004696441756095737,0.9297686219215393,0.004696441639680415,0.9297686219215393
0.5,0,random_block,256.0,0.5,0.500739298760891,0.4999570846557617,0.00010639148240443319,0.924344502389431,0.00013325383224582765,0.9534315168857574
0.5,0,random_token,256.0,0.5,0.4995678849518299,0.4997978210449219,0.00013812308679916896,0.9538514837622643,0.00014074460159463342,0.9536864086985588
0.5,0,recent_block,256.0,0.5,0.1385799776762724,0.11998939514160156,0.0004944675893057138,0.4203997626900673,0.000600986197241582,0.7377898618578911
0.5,0,recent_token,256.0,0.5,0.1385799776762724,0.11998939514160156,0.0004944675893057138,0.4203997626900673,0.000600986197241582,0.7377898618578911
0.5,0,sender_attn_block,256.0,0.5,0.8583426773548126,0.8853740692138672,1.2952860288351076e-05,0.9902334809303284,1.2952860515724751e-05,0.9902334809303284
0.5,0,sender_k_norm,183.166748046875,0.35774755477905273,0.3078039288520813,0.35199737548828125,0.0006997259115451016,0.5326991677284241,0.0007070746505632997,0.6322069391608238
0.5,0,sender_k_norm_block,256.0,0.5,0.7411073744297028,0.7943477630615234,1.9382259097255883e-05,0.9804335087537766,2.26383951940079e-05,0.983415886759758
0.5,0,sender_kxreceived,189.0615234375,0.3692607879638672,0.5623775720596313,0.6600189208984375,0.00028232579279574566,0.8134826421737671,0.00028938154719071463,0.9127018228173256
0.5,0,sender_kxreceived_block,256.0,0.5,0.8614200204610825,0.8800106048583984,1.5620089016010752e-05,0.9878155738115311,1.5620089016010752e-05,0.9878155738115311
0.5,0,sender_received,191.205078125,0.3734474182128906,0.5754539966583252,0.678497314453125,0.00028204020054545254,0.8158137798309326,0.00028909596585435793,0.9150329902768135
0.5,0,sender_received_block,256.0,0.5,0.8614200204610825,0.8800106048583984,1.5620089016010752e-05,0.9878155738115311,1.5620089016010752e-05,0.9878155738115311
0.5,0,uniform_block,256.0,0.5,0.6184895038604736,0.6514101028442383,1.313372388267453e-05,0.9925472438335419,1.313372388267453e-05,0.9925472438335419
0.5,4,random_block,256.0,0.5,0.5000682882964611,0.5003900527954102,0.002422609366476536,0.897262379527092,0.0026513796183280647,0.9204282164573669
0.5,4,random_token,256.0,0.5,0.5000951401889324,0.4997367858886719,0.0026116306544281542,0.9269728660583496,0.0026438362256158143,0.9263307601213455
0.5,4,recent_block,256.0,0.5,0.13735242001712322,0.18931293487548828,0.00718414259608835,0.41836194321513176,0.006445279926992953,0.749586820602417
0.5,4,recent_token,256.0,0.5,0.13735242001712322,0.18931293487548828,0.00718414259608835,0.41836194321513176,0.006445279926992953,0.749586820602417
0.5,4,sender_attn_block,256.0,0.5,0.863354504108429,0.8524580001831055,0.00046000454312888905,0.9790863320231438,0.0004600045285769738,0.9790863320231438
0.5,4,sender_k_norm,203.101806640625,0.3966832160949707,0.3426859378814697,0.4199981689453125,0.008037734194658697,0.70176762342453,0.007345037302002311,0.8190856352448463
